epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision_class_0,val_recall_class_0,val_f1_score_class_0,val_precision_class_1,val_recall_class_1,val_f1_score_class_1,val_precision_class_2,val_recall_class_2,val_f1_score_class_2
1,0.6942801808056078,0.6966784828587582,0.858087827761968,0.8084948062896729,0.977344862437779,0.6497343598753176,0.7790450552724734,0.7047361019380212,0.867442398974079,0.7554568275122335,0.7081319925710791,0.8222676355039719,0.7593439387620791
2,0.40567798802727145,0.8670117428428248,0.3239479685823123,0.9130214850107828,0.9236103656678809,0.944329585966866,0.9331480219656357,0.7436321710003914,0.7793787090214789,0.7606532162099726,0.9207127788320638,0.8345049728505983,0.8725343866516813
3,0.29959649224030344,0.8983798378392269,0.26673703640699387,0.9122436046600342,0.949132927392823,0.9291728961434353,0.9383532501622739,0.8567961875347049,0.8441875439008842,0.8347319387905744,0.9147255294588574,0.8289308125945644,0.86630002528072
4,0.23557416216323251,0.9207456086811266,0.2878892868757248,0.9169843196868896,0.8832300716189391,0.9726030197674368,0.9252514195791456,0.7926338035120651,0.7520715016141772,0.7712088913046364,0.910027946253658,0.8642556029193641,0.8849694028761416
5,0.23876717561169675,0.9168989081131784,0.308389138430357,0.9182674884796143,0.925145343331689,0.9491183594200879,0.9364505217376334,0.8048017676328358,0.7226980665678461,0.7605467191503505,0.8608233735843512,0.9349575314191739,0.8949187672533295
6,0.21647171346764815,0.9242318805895353,0.24799149731794992,0.9265805085500082,0.9330148156058833,0.9572069088360223,0.944459061085852,0.7914267625355333,0.7520421899812998,0.7706376945248762,0.8920454765032527,0.912920859948107,0.9013647453468483
7,0.18642371092972002,0.9347908020019531,0.2665010492006938,0.9149378140767416,0.927145607236345,0.9592874474308793,0.9423769461520172,0.7888767352811961,0.849463386277772,0.8035103146134096,0.9203028156403144,0.8542123998469898,0.8841960949045982
8,0.18475598002734936,0.9351923490825452,0.2676634055872758,0.9268646240234375,0.9253031082401605,0.9626558427892676,0.9431121250472737,0.7865848828658438,0.7614059088265636,0.772911115912626,0.9065643007091849,0.8923244732087617,0.8981600639995015
9,0.16883549203998163,0.9384034006219161,0.24082279081145921,0.9293888409932455,0.9321439017536699,0.9611100145115475,0.9459699213947904,0.7937249640822709,0.7548865804975019,0.7733671460675828,0.8992959456945872,0.9154282461253809,0.9059165309679346
10,0.16082623193138523,0.9453567504882813,0.22662789498766264,0.9312028090159098,0.9373456324761547,0.9632784698030301,0.9497343762099044,0.7960818196681144,0.755593080993053,0.7745566085716004,0.8991770008882174,0.9176225505469618,0.9068979899434004
11,0.14062337467544958,0.9507415771484375,0.2113813248773416,0.9348336855570475,0.9458072018354059,0.9557885245919987,0.9503208311709215,0.7861518072752786,0.7726812592464993,0.7789026540049512,0.9126225201362237,0.9114004741130127,0.9110319988018295
12,0.13992525386182886,0.9519787437037418,0.210328192760547,0.9362463156382242,0.9433277570801465,0.9636085687007353,0.952958546057352,0.78944661773876,0.7727838825181923,0.7806232489543393,0.916018967801072,0.9059369531024896,0.9096990548480898
13,0.1259182406099219,0.9565986633300781,0.2456631933649381,0.9316215515136719,0.9594985646057187,0.9425595437351116,0.9505654301740224,0.8009792137855553,0.7547410146607813,0.7766333965477291,0.874903162520645,0.9398832954296376,0.905238704542438
14,0.15157726046286132,0.946845165051912,0.22385678440332413,0.9324722290039062,0.9511767016258107,0.9475379735534283,0.9488689031853238,0.7646390429524773,0.7931009107616624,0.7780208425574062,0.9316451104075739,0.8805074683703288,0.9041079573524186
15,0.13534592939050574,0.9531429089997944,0.2661752502123515,0.9260605176289877,0.8889934667159256,0.9850012253597873,0.9340087341377572,0.8013491351265792,0.7392992119774525,0.7687522555377639,0.9231831885496075,0.8988897086622224,0.9097433664440565
16,0.12462973359384034,0.9557954487047697,0.2154106137653192,0.9352008501688639,0.9591620737865588,0.9537849896141065,0.9560694565765836,0.773731372167657,0.7883463996648663,0.7805811055343068,0.9229785849506317,0.8935249674948887,0.9068865688041106
17,0.12764380621282678,0.9541181062397204,0.27617625643809635,0.9323392709096273,0.9529214838426331,0.9571398864363792,0.9546682194148821,0.8101696772656045,0.7409824212399347,0.7730026510982162,0.8708337419306833,0.9464729519695331,0.9058516342721311
18,0.12660715548615706,0.9555980481599506,0.2435451311369737,0.9338324864705404,0.9624564471026219,0.9492199167397043,0.9554514278992147,0.7956239851820847,0.7608420712012302,0.7771458893955461,0.881602115880225,0.9370400227551549,0.9074633670402378
19,0.12349353471868917,0.9554603175113076,0.2655815966427326,0.9318259557088217,0.9315051350813416,0.9772966908048062,0.9534487953154254,0.80361124127737,0.7459387309027679,0.7727651211800958,0.8949047887106634,0.916838810925039,0.9045465888633081
20,0.11585079698186172,0.9594674361379523,0.21792927260200182,0.9438771406809489,0.9474492539540496,0.9681655288365056,0.9573644944768772,0.793741479456998,0.7840795769197428,0.7883647876219161,0.929828356397894,0.9159170329861621,0.9218640308050171
